fir_number,timestamp,ps_name,area,lat,lng,incident_type,severity,weapon_involved,reported_to_police,source,hour,day_of_week
NOR/1031/2023,2023-05-16 02:05:35,North Nazimabad,North Nazimabad,24.950648,67.054598,motorcycle_theft,HIGH,none,yes,karachi_police_fir,2,Tuesday
LAN/1002/2023,2023-05-17 23:09:19,Landhi,Landhi,24.85951,67.165197,motorcycle_theft,HIGH,none,yes,karachi_police_fir,23,Wednesday
SOH/1043/2023,2023-05-18 14:42:40,Sohrab Goth,Sohrab Goth,24.953487,67.047267,motorcycle_theft,HIGH,none,yes,karachi_police_fir,14,Thursday
SUR/1004/2023,2023-05-27 01:15:08,Surjani,Surjani Town,24.986879,67.049197,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Saturday
BAL/1004/2023,2023-05-28 07:21:13,Baldia,Baldia Town,24.897062,66.990602,motorcycle_theft,HIGH,none,yes,karachi_police_fir,7,Sunday
LAN/1020/2023,2023-05-28 23:50:41,Landhi,Landhi,24.863347,67.176333,robbery,HIGH,firearm,yes,karachi_police_fir,23,Sunday
GUL/1028/2023,2023-05-29 23:47:40,Gulshan Iqbal,Gulshan-e-Iqbal,24.939059,67.097587,motorcycle_theft,HIGH,none,yes,karachi_police_fir,23,Monday
GUL/1042/2023,2023-06-01 03:29:23,Gulshan Iqbal,Gulshan-e-Iqbal,24.924126,67.105521,mobile_snatching,HIGH,none,yes,karachi_police_fir,3,Thursday
BAG/1025/2023,2023-06-01 23:22:02,Baghdadi,Lyari,24.864424,66.996987,mobile_snatching,CRITICAL,none,yes,karachi_police_fir,23,Thursday
KAL/1044/2023,2023-06-02 05:41:56,Kalakot,Lyari,24.852182,66.998895,motorcycle_theft,HIGH,none,yes,karachi_police_fir,5,Friday
SOH/1026/2023,2023-06-02 16:13:38,Sohrab Goth,Sohrab Goth,24.956828,67.059174,assault,MEDIUM,blunt_object,yes,karachi_police_fir,16,Friday
ORA/1014/2023,2023-06-04 02:40:39,Orangi 5,Orangi Town,24.947298,66.9976,mobile_snatching,HIGH,none,yes,karachi_police_fir,2,Sunday
GUL/1038/2023,2023-06-04 23:58:12,Gulshan Iqbal,Gulshan-e-Iqbal,24.92526,67.101068,motorcycle_theft,HIGH,none,yes,karachi_police_fir,23,Sunday
SUR/1039/2023,2023-06-07 07:53:46,Surjani,Surjani Town,24.990128,67.047519,motorcycle_theft,HIGH,none,yes,karachi_police_fir,7,Wednesday
BAL/1029/2023,2023-06-09 04:50:35,Baldia,Baldia Town,24.908028,66.982297,mobile_snatching,HIGH,none,yes,karachi_police_fir,4,Friday
PAK/1014/2023,2023-06-09 12:46:42,Pak Colony,Pak Colony,24.902842,67.001838,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Friday
GUL/1009/2023,2023-06-11 17:46:20,Gulberg,Gulberg,24.910566,67.078633,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,17,Sunday
BAL/1033/2023,2023-06-11 22:54:28,Baldia,Baldia Town,24.906488,66.980418,motorcycle_theft,HIGH,none,yes,karachi_police_fir,22,Sunday
SUR/1026/2023,2023-06-12 00:45:27,Surjani,Surjani Town,24.988066,67.035341,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,0,Monday
MOM/1044/2023,2023-06-12 20:57:38,Mominabad,Orangi Town,24.927107,67.001498,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,20,Monday
MOM/1038/2023,2023-06-12 20:58:16,Mominabad,Orangi Town,24.932427,66.992184,house_burglary,MEDIUM,none,yes,karachi_police_fir,20,Monday
NAP/1028/2023,2023-06-15 00:23:35,Napier,Saddar,24.862974,67.009012,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,0,Thursday
KEM/1013/2023,2023-06-15 20:39:35,Kemari,Kemari,24.842995,66.96326,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,20,Thursday
GUL/1004/2023,2023-06-16 00:03:38,Gulshan Iqbal,Gulshan-e-Iqbal,24.938717,67.102133,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,0,Friday
GUL/1027/2023,2023-06-16 05:22:01,Gulberg,Gulberg,24.921913,67.091096,motorcycle_theft,HIGH,none,yes,karachi_police_fir,5,Friday
KOR/1023/2023,2023-06-16 07:09:07,Korangi,Korangi,24.834703,67.098899,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,7,Friday
GAR/1008/2023,2023-06-18 08:46:17,Garden,Saddar,24.872857,67.019511,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Sunday
KOR/1012/2023,2023-06-20 17:01:19,Korangi,Korangi,24.826871,67.105413,mobile_snatching,HIGH,knife,yes,karachi_police_fir,17,Tuesday
GUL/1017/2023,2023-06-21 22:25:15,Gulshan Iqbal,Gulshan-e-Iqbal,24.933024,67.112832,motorcycle_theft,HIGH,none,yes,karachi_police_fir,22,Wednesday
NAP/1024/2023,2023-06-22 16:59:55,Napier,Saddar,24.866941,67.009874,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,16,Thursday
GUL/1024/2023,2023-06-22 19:42:22,Gulberg,Gulberg,24.909539,67.082195,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Thursday
ORA/1034/2023,2023-06-24 19:31:10,Orangi 5,Orangi Town,24.947416,67.000654,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Saturday
LAN/1030/2023,2023-06-26 17:24:00,Landhi,Landhi,24.862911,67.168525,vehicle_hijacking,HIGH,knife,yes,karachi_police_fir,17,Monday
ORA/1031/2023,2023-06-27 20:07:32,Orangi 5,Orangi Town,24.950691,66.995765,robbery,CRITICAL,firearm,yes,karachi_police_fir,20,Tuesday
TEE/1036/2023,2023-07-01 10:18:07,Teen Talwar,Teen Talwar,24.807414,67.027301,motorcycle_theft,HIGH,none,yes,karachi_police_fir,10,Saturday
KHA/1010/2023,2023-07-01 15:34:56,Kharadar,Saddar,24.860786,67.005853,mugging,MEDIUM,none,yes,karachi_police_fir,15,Saturday
PIR/1018/2023,2023-07-01 22:05:29,Pirabad,Orangi Town,24.934227,66.985654,motorcycle_theft,CRITICAL,none,yes,karachi_police_fir,22,Saturday
BAL/1023/2023,2023-07-02 08:12:43,Baldia,Baldia Town,24.896322,66.980592,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Sunday
GAR/1015/2023,2023-07-04 02:49:25,Garden,Saddar,24.865646,67.018666,mobile_snatching,HIGH,knife,yes,karachi_police_fir,2,Tuesday
NEW/1018/2023,2023-07-06 10:42:28,New Karachi,New Karachi,24.969172,67.069005,motorcycle_theft,HIGH,none,yes,karachi_police_fir,10,Thursday
PAK/1030/2023,2023-07-07 16:33:24,Pak Colony,Pak Colony,24.910913,66.998255,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Friday
KEM/1028/2023,2023-07-08 00:04:19,Kemari,Kemari,24.846023,66.966799,car_theft,MEDIUM,blunt_object,yes,karachi_police_fir,0,Saturday
GUL/1026/2023,2023-07-08 22:37:43,Gulberg,Gulberg,24.911859,67.08084,mugging,MEDIUM,knife,yes,karachi_police_fir,22,Saturday
MOM/1036/2023,2023-07-09 12:01:58,Mominabad,Orangi Town,24.929277,66.999223,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Sunday
LAN/1022/2023,2023-07-17 21:41:19,Landhi,Landhi,24.863575,67.163117,motorcycle_theft,HIGH,none,yes,karachi_police_fir,21,Monday
GIZ/1011/2023,2023-07-20 00:53:21,Gizri,DHA Phase 2,24.802903,67.056109,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,0,Thursday
PIR/1014/2023,2023-07-21 20:52:58,Pirabad,Orangi Town,24.93627,66.990527,vehicle_hijacking,CRITICAL,firearm,yes,karachi_police_fir,20,Friday
DHA/1004/2023,2023-07-22 04:18:05,DHA Phase 4,DHA Phase 4,24.797646,67.075346,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,4,Saturday
KEM/1006/2023,2023-07-24 22:26:51,Kemari,Kemari,24.839023,66.968476,mugging,MEDIUM,knife,yes,karachi_police_fir,22,Monday
KEM/1030/2023,2023-07-25 00:34:07,Kemari,Kemari,24.843392,66.968847,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,0,Tuesday
GUL/1025/2023,2023-07-25 19:58:05,Gulshan Iqbal,Gulshan-e-Iqbal,24.933738,67.106109,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,19,Tuesday
TEE/1004/2023,2023-07-26 02:58:13,Teen Talwar,Teen Talwar,24.808098,67.030984,motorcycle_theft,HIGH,none,yes,karachi_police_fir,2,Wednesday
SOH/1023/2023,2023-07-30 01:58:59,Sohrab Goth,Sohrab Goth,24.946021,67.049314,motorcycle_theft,HIGH,none,yes,karachi_police_fir,1,Sunday
NEW/1030/2023,2023-08-03 16:35:39,New Karachi,New Karachi,24.975712,67.079414,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,16,Thursday
SUR/1038/2023,2023-08-03 23:57:08,Surjani,Surjani Town,24.990332,67.047839,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,23,Thursday
SOH/1021/2023,2023-08-04 14:59:33,Sohrab Goth,Sohrab Goth,24.9583,67.053777,car_theft,MEDIUM,none,yes,karachi_police_fir,14,Friday
KHA/1031/2023,2023-08-05 19:14:13,Kharadar,Saddar,24.850374,67.006114,motorcycle_theft,HIGH,none,yes,karachi_police_fir,19,Saturday
PIR/1016/2023,2023-08-07 00:18:12,Pirabad,Orangi Town,24.927783,66.981749,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,0,Monday
BAL/1021/2023,2023-08-07 18:45:59,Baldia,Baldia Town,24.908934,66.984301,motorcycle_theft,HIGH,none,yes,karachi_police_fir,18,Monday
PAK/1002/2023,2023-08-09 03:38:27,Pak Colony,Pak Colony,24.904081,67.000026,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,3,Wednesday
MOM/1006/2023,2023-08-10 03:33:20,Mominabad,Orangi Town,24.933222,66.987064,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,3,Thursday
NOR/1010/2023,2023-08-11 08:01:51,North Nazimabad,North Nazimabad,24.949218,67.062201,motorcycle_theft,HIGH,none,yes,karachi_police_fir,8,Friday
NEW/1027/2023,2023-08-11 23:20:41,New Karachi,New Karachi,24.979413,67.063174,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,23,Friday
ARA/1003/2023,2023-08-12 20:46:45,Arambagh,Saddar,24.855082,67.004112,motorcycle_theft,HIGH,none,yes,karachi_police_fir,20,Saturday
LIA/1024/2023,2023-08-16 00:14:03,Liaquatabad,Liaquatabad,24.905293,67.033443,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Wednesday
ORA/1023/2023,2023-08-16 11:51:40,Orangi 5,Orangi Town,24.940725,67.006251,motorcycle_theft,HIGH,none,yes,karachi_police_fir,11,Wednesday
SUR/1006/2023,2023-08-17 12:33:10,Surjani,Surjani Town,24.9986,67.04101,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Thursday
MAL/1005/2023,2023-08-21 04:40:49,Malir,Malir,24.911075,67.198347,motorcycle_theft,HIGH,none,yes,karachi_police_fir,4,Monday
GUL/1010/2023,2023-08-21 16:46:19,Gulberg,Gulberg,24.911217,67.088935,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,16,Monday
GAR/1009/2023,2023-08-21 17:33:03,Garden,Saddar,24.871427,67.015338,robbery,HIGH,blunt_object,yes,karachi_police_fir,17,Monday
PIR/1021/2023,2023-08-21 17:47:02,Pirabad,Orangi Town,24.933177,66.98992,motorcycle_theft,HIGH,none,yes,karachi_police_fir,17,Monday
LAN/1016/2023,2023-08-21 23:33:24,Landhi,Landhi,24.858565,67.167063,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,23,Monday
NAP/1027/2023,2023-08-24 04:53:43,Napier,Saddar,24.861607,67.004259,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,4,Thursday
KHA/1016/2023,2023-08-25 12:09:48,Kharadar,Saddar,24.858958,67.008664,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,12,Friday
GAR/1012/2023,2023-08-25 14:04:04,Garden,Saddar,24.875649,67.018894,vehicle_hijacking,HIGH,firearm,yes,karachi_police_fir,14,Friday
TEE/1023/2023,2023-08-26 16:43:28,Teen Talwar,Teen Talwar,24.806062,67.024852,motorcycle_theft,HIGH,none,yes,karachi_police_fir,16,Saturday
SUR/1028/2023,2023-08-27 00:38:04,Surjani,Surjani Town,25.000931,67.038473,motorcycle_theft,HIGH,none,yes,karachi_police_fir,0,Sunday
NAP/1001/2023,2023-08-27 12:52:20,Napier,Saddar,24.86414,67.012615,motorcycle_theft,HIGH,none,yes,karachi_police_fir,12,Sunday
MAL/1017/2023,2023-08-28 20:34:08,Malir,Malir,24.90008,67.178384,motorcycle_theft,HIGH,knife,yes,karachi_police_fir,20,Monday
TEE/1019/2023,2023-08-28 22:49:33,Teen Talwar,Teen Talwar,24.812565,67.032248,robbery,CRITICAL,firearm,yes,karachi_police_fir,22,Monday
BAL/1032/2023,2023-08-29 00:06:43,Baldia,Baldia Town,24.902912,66.986729,mobile_snatching,HIGH,firearm,yes,karachi_police_fir,0,Tuesday
